Tripoli tab-delimited output of processed data for:
A519__U.trip
produced on: 2021-12-27

Each column header shows ratio name, Tripolized mean, Tripolized stdErr, Fractionation Corrected flag.
Data is presented by blocks that are separated by blank lines. 
Any discarded value is shown as a negative number. 
Any missing value is represented by a blank entry. 

Time            	i208_S1         	i207_S1         	i204_S1         	R64S1           	R74S1           	R84S1           	R86S1           	R76S1           	R87S1           	R64S2           	R74S2           	R84S2           	R86S2           	R76S2           	R87S2           	R64S3           	R74S3           	R84S3           	R86S3           	R76S3           	R87S3           	
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	
8.820276975E+003	1.468629802E+001	6.285857209E+000	4.104250839E-001	1.577039338E+001	1.453230933E+001	3.440409095E+001	2.239283483E+000	1.077086007E+000	2.378991148E+000	1.599288607E+001	1.510578674E+001	3.337395988E+001	2.151863159E+000	1.078622763E+000	2.312210472E+000	1.579606235E+001	1.467605948E+001	3.360889915E+001	3.126600742E+000	1.105028578E+000	2.383637877E+000	
3.213114636E+000	6.112320935E+000	6.076557210E+000	6.051655258E+000	2.369531368E+000	2.374037294E+000	2.334031144E+000	2.842216872E+000	4.020970890E+000	2.150408063E+000	1.773256520E+000	2.410450776E+000	2.196658433E+000	2.742089812E+000	1.266598167E+001	1.716920752E+000	1.682666064E+000	2.016308589E+000	1.810594496E+000	2.068543580E+001	7.068415628E+000	3.066268489E+000	
not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	

1.021506000E+003	2.726042900E+001	1.151948048E+001	7.459349122E-001	1.690043520E+001	1.544301023E+001	3.654531857E+001	2.162389202E+000	9.137640570E-001	2.366463405E+000	1.690126686E+001	1.544281545E+001	3.654767096E+001	2.162421981E+000	9.137075687E-001	2.366645582E+000	1.690244401E+001	1.544448686E+001	3.655050322E+001	2.162438947E+000	9.137428204E-001	2.366572846E+000	
1.065337000E+003	2.800552548E+001	1.183413694E+001	7.661282376E-001	1.690350663E+001	1.544667897E+001	3.655461854E+001	2.162546467E+000	9.138150625E-001	2.366503416E+000	1.690137218E+001	1.544269779E+001	3.654848711E+001	2.162456794E+000	9.136949132E-001	2.366716464E+000	1.690189415E+001	1.544460111E+001	3.654977691E+001	2.162466324E+000	9.137793062E-001	2.366508312E+000	

1.262438000E+003	3.155289384E+001	1.333242866E+001	8.630986483E-001	1.690336085E+001	1.544716666E+001	3.655769118E+001	2.162746894E+000	9.138517952E-001	2.366627615E+000	1.690401428E+001	1.544743606E+001	3.656100750E+001	2.162859478E+000	9.138324076E-001	2.366801024E+000	1.690428963E+001	1.544763058E+001	3.656085148E+001	2.162815018E+000	9.138290290E-001	2.366761122E+000	
1.306242000E+003	3.229802560E+001	1.364725906E+001	8.833605545E-001	1.690493747E+001	1.544925115E+001	3.656267584E+001	2.162840052E+000	9.138898723E-001	2.366630945E+000	1.690430709E+001	1.544743455E+001	3.656037199E+001	2.162784419E+000	9.138164886E-001	2.366760116E+000	1.690482465E+001	1.544820291E+001	3.656266127E+001	2.162853625E+000	9.138339638E-001	2.366790589E+000	
1.350047000E+003	3.303196461E+001	1.395711356E+001	9.034636377E-001	1.690385617E+001	1.544845080E+001	3.656147656E+001	2.162907456E+000	9.139009844E-001	2.366675923E+000	1.690525535E+001	1.544841180E+001	3.656663496E+001	2.163033577E+000	9.138230377E-001	2.367015809E+000	1.690619910E+001	1.545012200E+001	3.656777016E+001	2.162979979E+000	9.138731844E-001	2.366827275E+000	
1.393861000E+003	3.373869473E+001	1.425483109E+001	9.227383816E-001	1.690393673E+001	1.544839943E+001	3.656366247E+001	2.163026463E+000	9.138935909E-001	2.366825290E+000	1.690767805E+001	1.545057777E+001	3.657043049E+001	2.162948123E+000	9.138202024E-001	2.366929640E+000	1.690571428E+001	1.544955087E+001	3.656556245E+001	2.162911419E+000	9.138656090E-001	2.366771873E+000	
1.437647000E+003	3.444054781E+001	1.455193717E+001	9.418284367E-001	1.690623062E+001	1.545073031E+001	3.656775105E+001	2.162974815E+000	9.139074613E-001	2.366732855E+000	1.690690372E+001	1.545034330E+001	3.657059003E+001	2.163056621E+000	9.138481862E-001	2.366975887E+000	1.690908767E+001	1.545337431E+001	3.657483025E+001	2.163028009E+000	9.139094085E-001	2.366786017E+000	
1.481462000E+003	3.513090973E+001	1.484289098E+001	9.606246508E-001	1.690612655E+001	1.545129096E+001	3.657090176E+001	2.163174495E+000	9.139462497E-001	2.366850890E+000	1.690752706E+001	1.545148744E+001	3.657313587E+001	2.163127449E+000	9.138821657E-001	2.366965381E+000	1.690674907E+001	1.545108175E+001	3.657091173E+001	2.163095434E+000	9.139002233E-001	2.366883582E+000	
1.525261000E+003	3.579635522E+001	1.512455117E+001	9.787395009E-001	1.690777085E+001	1.545309161E+001	3.657393534E+001	2.163143542E+000	9.139638657E-001	2.366771405E+000	1.690757629E+001	1.545188699E+001	3.657457212E+001	2.163206097E+000	9.139031356E-001	2.366997128E+000	1.690640877E+001	1.545074710E+001	3.657073054E+001	2.163128257E+000	9.138988242E-001	2.366923121E+000	
1.569085000E+003	3.644502300E+001	1.539801612E+001	9.965653935E-001	1.690500996E+001	1.545108451E+001	3.657062872E+001	2.163301222E+000	9.139944043E-001	2.366864843E+000	1.690976811E+001	1.545342001E+001	3.657981466E+001	2.163235736E+000	9.138753359E-001	2.367101563E+000	1.690628741E+001	1.545067710E+001	3.657207594E+001	2.163223365E+000	9.139012447E-001	2.367020920E+000	
1.612889000E+003	3.707964961E+001	1.566572571E+001	1.013937387E+000	1.690460599E+001	1.545038767E+001	3.656995991E+001	2.163313356E+000	9.139750241E-001	2.366928306E+000	1.690810684E+001	1.545250868E+001	3.657671208E+001	2.163264784E+000	9.139112277E-001	2.367040385E+000	1.691023161E+001	1.545493801E+001	3.658111797E+001	2.163253515E+000	9.139400550E-001	2.366953394E+000	
1.656706000E+003	3.770539106E+001	1.592947710E+001	1.030772898E+000	1.690862672E+001	1.545391534E+001	3.657972686E+001	2.163376569E+000	9.139663202E-001	2.367020011E+000	1.690871510E+001	1.545340002E+001	3.658008405E+001	2.163386385E+000	9.139310661E-001	2.367122057E+000	1.690764060E+001	1.545306450E+001	3.657686448E+001	2.163333451E+000	9.139693036E-001	2.366965107E+000	

1.758919000E+003	3.907926028E+001	1.650996785E+001	1.068285039E+000	1.690895811E+001	1.545464669E+001	3.658130448E+001	2.163427471E+000	9.139916601E-001	2.367010078E+000	1.690954412E+001	1.545435249E+001	3.658502650E+001	2.163572609E+000	9.139425863E-001	2.367295978E+000	1.691077807E+001	1.545572285E+001	3.658545714E+001	2.163440204E+000	9.139569328E-001	2.367113948E+000	
1.802735000E+003	3.964808149E+001	1.675034890E+001	1.083827380E+000	1.690884522E+001	1.545481246E+001	3.658154631E+001	2.163456217E+000	9.140075658E-001	2.367000338E+000	1.691107156E+001	1.545582998E+001	3.658790812E+001	2.163547590E+000	9.139474056E-001	2.367256121E+000	1.691043660E+001	1.545506243E+001	3.658405512E+001	2.163400981E+000	9.139363339E-001	2.367124383E+000	
1.846557000E+003	4.020252275E+001	1.698413209E+001	1.098954465E+000	1.690793796E+001	1.545480967E+001	3.658251914E+001	2.163629842E+000	9.140564452E-001	2.367063712E+000	1.691307656E+001	1.545841585E+001	3.659308617E+001	2.163597264E+000	9.139919514E-001	2.367195095E+000	1.691075715E+001	1.545632870E+001	3.658698140E+001	2.163533015E+000	9.139938897E-001	2.367119780E+000	
1.890380000E+003	4.073929484E+001	1.721043639E+001	1.113542841E+000	1.690932086E+001	1.545556736E+001	3.658529636E+001	2.163617135E+000	9.140265000E-001	2.367127360E+000	1.691222148E+001	1.545768888E+001	3.659238768E+001	2.163665354E+000	9.139951777E-001	2.367261236E+000	1.691059797E+001	1.545594869E+001	3.658815140E+001	2.163622568E+000	9.139800212E-001	2.367253679E+000	
1.934180000E+003	4.126008020E+001	1.743043793E+001	1.127749283E+000	1.690926050E+001	1.545595125E+001	3.658621719E+001	2.163679316E+000	9.140524655E-001	2.367128144E+000	1.691211331E+001	1.545780626E+001	3.659381379E+001	2.163763518E+000	9.140079642E-001	2.367335518E+000	1.691314101E+001	1.545892425E+001	3.659473617E+001	2.163686577E+000	9.140185281E-001	2.367223979E+000	
1.977990000E+003	4.177527002E+001	1.764788791E+001	1.141742874E+000	1.691040648E+001	1.545697224E+001	3.658903503E+001	2.163699321E+000	9.140508983E-001	2.367154089E+000	1.691416448E+001	1.545975509E+001	3.659845524E+001	2.163775531E+000	9.140123418E-001	2.367337324E+000	1.691255735E+001	1.545852210E+001	3.659319926E+001	2.163670373E+000	9.140262932E-001	2.367186140E+000	
2.021808000E+003	4.227095643E+001	1.785747486E+001	1.155196384E+000	1.691111044E+001	1.545838881E+001	3.659200895E+001	2.163785109E+000	9.140966148E-001	2.367129550E+000	1.691135989E+001	1.545738830E+001	3.659273011E+001	2.163795837E+000	9.140239699E-001	2.367329422E+000	1.691265937E+001	1.545897836E+001	3.659494796E+001	2.163760717E+000	9.140477571E-001	2.367229393E+000	
2.065633000E+003	4.276603809E+001	1.806587944E+001	1.168643873E+000	1.691172117E+001	1.545884069E+001	3.659458548E+001	2.163859320E+000	9.140903241E-001	2.367227027E+000	1.691255283E+001	1.545835439E+001	3.659626983E+001	2.163852506E+000	9.140166211E-001	2.367410457E+000	1.691176555E+001	1.545824040E+001	3.659425442E+001	2.163834067E+000	9.140524305E-001	2.367297536E+000	
2.109456000E+003	4.322994604E+001	1.826182233E+001	1.181244504E+000	1.691323697E+001	1.545981570E+001	3.659694999E+001	2.163805193E+000	9.140660496E-001	2.367230677E+000	1.691295639E+001	1.545905305E+001	3.659792542E+001	2.163898763E+000	9.140361209E-001	2.367410558E+000	1.691185721E+001	1.545841935E+001	3.659446706E+001	2.163834912E+000	9.140580575E-001	2.367283887E+000	
2.153290000E+003	4.371010185E+001	1.846405205E+001	1.194278898E+000	1.691333517E+001	1.546041890E+001	3.659957646E+001	2.163947920E+000	9.140964068E-001	2.367308201E+000	1.691472198E+001	1.546084461E+001	3.660288988E+001	2.163966391E+000	9.140466292E-001	2.367457328E+000	1.691571817E+001	1.546195774E+001	3.660405622E+001	2.163907903E+000	9.140586046E-001	2.367362324E+000	

2.348904000E+003	4.631795826E+001	1.956591571E+001	1.265578490E+000	1.691197606E+001	1.546005709E+001	3.659825024E+001	2.164043403E+000	9.141484729E-001	2.367277819E+000	1.691456981E+001	1.546081776E+001	3.660414317E+001	2.164059955E+000	9.140532653E-001	2.367542502E+000	1.691532710E+001	1.546151638E+001	3.660461848E+001	2.163991169E+000	9.140536438E-001	2.367466269E+000	
2.392688000E+003	4.672774409E+001	1.973873460E+001	1.276547272E+000	1.691476214E+001	1.546259588E+001	3.660478942E+001	2.164073554E+000	9.141479944E-001	2.367312041E+000	1.691381947E+001	1.546073017E+001	3.660521193E+001	2.164219146E+000	9.140886365E-001	2.367625042E+000	1.691547727E+001	1.546219547E+001	3.660592319E+001	2.164049090E+000	9.140856756E-001	2.367446671E+000	
2.436495000E+003	4.709476113E+001	1.989339161E+001	1.286519213E+000	1.691503405E+001	1.546295726E+001	3.660634109E+001	2.164130500E+000	9.141546638E-001	2.367357063E+000	1.691422706E+001	1.546119466E+001	3.660536241E+001	2.164175891E+000	9.140940707E-001	2.367563646E+000	1.691401829E+001	1.546086789E+001	3.660348654E+001	2.164091696E+000	9.140860332E-001	2.367492356E+000	
2.480337000E+003	4.744317892E+001	2.004040515E+001	1.296112381E+000	1.691417724E+001	1.546193482E+001	3.660421706E+001	2.164114550E+000	9.141405225E-001	2.367376237E+000	1.691580553E+001	1.546226466E+001	3.661015041E+001	2.164256993E+000	9.140720277E-001	2.367709466E+000	1.691366695E+001	1.546081375E+001	3.660369221E+001	2.164148811E+000	9.141018206E-001	2.367513949E+000	
2.524145000E+003	4.777440926E+001	2.018041604E+001	1.305101340E+000	1.691472893E+001	1.546271957E+001	3.660590008E+001	2.164143466E+000	9.141571018E-001	2.367364933E+000	1.691593753E+001	1.546274356E+001	3.661056662E+001	2.164264709E+000	9.140932056E-001	2.367663052E+000	1.691588817E+001	1.546318406E+001	3.660889042E+001	2.164171935E+000	9.141219136E-001	2.367487206E+000	
2.567964000E+003	4.807671843E+001	2.030718574E+001	1.313176550E+000	1.691696359E+001	1.546417025E+001	3.661100896E+001	2.164159588E+000	9.141220981E-001	2.367473221E+000	1.691675797E+001	1.546388885E+001	3.661347568E+001	2.164331708E+000	9.141165746E-001	2.367675818E+000	1.691623357E+001	1.546378046E+001	3.661073229E+001	2.164236628E+000	9.141385049E-001	2.367515006E+000	
2.611785000E+003	4.837370909E+001	2.043239938E+001	1.321443579E+000	1.691386942E+001	1.546218068E+001	3.660671546E+001	2.164301648E+000	9.141716954E-001	2.367500174E+000	1.691636494E+001	1.546272767E+001	3.661199768E+001	2.164294623E+000	9.140691704E-001	2.367758035E+000	1.691552517E+001	1.546246583E+001	3.660837830E+001	2.164188101E+000	9.140990703E-001	2.367564055E+000	
2.655577000E+003	4.791370041E+001	2.023791200E+001	1.308845011E+000	1.691434431E+001	1.546242056E+001	3.660761971E+001	2.164294343E+000	9.141602108E-001	2.367521926E+000	1.691603165E+001	1.546302157E+001	3.661304216E+001	2.164399011E+000	9.141045545E-001	2.367780578E+000	1.691613954E+001	1.546356683E+001	3.661189604E+001	2.164317452E+000	9.141309572E-001	2.367622970E+000	
2.699407000E+003	4.712872482E+001	1.990657717E+001	1.287261951E+000	1.691596539E+001	1.546427838E+001	3.661160401E+001	2.164322471E+000	9.141824325E-001	2.367495146E+000	1.691625835E+001	1.546361775E+001	3.661364904E+001	2.164405880E+000	9.141275469E-001	2.367728538E+000	1.691884802E+001	1.546584527E+001	3.661839905E+001	2.164355339E+000	9.141192857E-001	2.367694646E+000	
