#HEADER
Analysis
Version,1.4.0,1.04
Filename,A522_Pb-2534.TXT
MethodName,PbFaraday_Pbc3Line.TIMSAM
MethodPath,C:\IsoLinx\Projects\RIGL.Pro\Methods
IsoWorksMethod,PbFaraday_Pbc3Line
FolderPath,C:\IsoLinx\Projects\RIGL.Pro\Analysis\T0039_HiPb981DblSpk\A522_Pb.RAW
Corrected,Yes
BChannels,Yes
TimeZero, December 28, 2021 10:07:55 AM.018

#COLLECTORS
Name,Type,Resistor,Gain,Efficiency,DT
PM,PM,1e+11,1.000000000,1.000000000,31.3000
L5,F,1e+11,1.000000000,1.000000000,0.0000
L4,F,1e+11,1.000362239,1.000000000,0.0000
L3,F,1e+11,1.001916859,1.000000000,0.0000
L2,F,1e+11,0.998704526,1.000000000,0.0000
Ax,F,1e+11,0.994221629,1.000000000,0.0000
H1,F,1e+11,1.004330622,1.000000000,0.0000
H2,F,1e+11,0.967642535,1.000000000,0.0000
H3,F,1e+11,0.988378437,1.000000000,0.0000
H4,F,1e+11,0.996368444,1.000000000,0.0000

#BASELINES
ID,Block,Cycle,Integ,PeakID,AxMass,Time,PM,L5,L4,L3,L2,Ax,H1,H2,H3,H4,L5.B,L4.B,L3.B,L2.B,Ax.B,H1.B,H2.B,H3.B,H4.B
BL1, 1, 6, 1, BL1, 203.5000, 378.2070982, 0.000000000000e+000, 9.274341868662e-007, 3.544149932363e-007, 1.122107412670e-006, -5.282523623823e-008, -1.051516617821e-006, 8.099805017852e-007, 5.734348076393e-006, 1.417451895419e-005, 1.885217482498e-005, 9.274341868662e-007, 3.544149932363e-007, 1.122107412670e-006, -5.282523623823e-008, -1.051516617821e-006, 8.099805017852e-007, 5.734348076393e-006, 1.417451895419e-005, 1.885217482498e-005
BL2, 1, 6, 1, BL2, 204.5000, 384.2209636, 0.000000000000e+000, 9.216179602615e-006, 9.692060404242e-006, -4.693721117419e-006, -2.615411750806e-007, -3.047024064705e-006, 2.150159791602e-006, 1.465656431509e-005, 1.439965469359e-005, 5.798630529722e-006, 9.216179602615e-006, 9.692060404242e-006, -4.693721117419e-006, -2.615411750806e-007, -3.047024064705e-006, 2.150159791602e-006, 1.465656431509e-005, 1.439965469359e-005, 5.798630529722e-006
BL3, 1, 6, 1, BL3, 205.5000, 390.2350353, 0.000000000000e+000, -2.866530249731e-006, -2.911296467938e-006, 3.229867065222e-006, -5.696896410461e-006, -2.482668720217e-006, 3.736524009426e-006, 8.760193421785e-006, 4.488213055113e-006, 1.041991441341e-005, -2.866530249731e-006, -2.911296467938e-006, 3.229867065222e-006, -5.696896410461e-006, -2.482668720217e-006, 3.736524009426e-006, 8.760193421785e-006, 4.488213055113e-006, 1.041991441341e-005
BL4, 1, 6, 1, BL4, 206.5000, 396.2489029, 0.000000000000e+000, -6.249796839420e-006, 8.419756696404e-006, -3.699693573670e-006, 3.342880895706e-006, 6.038091108798e-006, 8.152059721913e-006, 6.711958847790e-006, -5.084693139664e-006, -2.732980665577e-006, -6.249796839420e-006, 8.419756696404e-006, -3.699693573670e-006, 3.342880895706e-006, 6.038091108798e-006, 8.152059721913e-006, 6.711958847790e-006, -5.084693139664e-006, -2.732980665577e-006
BL1, 1, 7, 1, BL1, 203.5000, 422.1297328, 0.000000000000e+000, 2.493302026372e-006, 3.447282404411e-006, 4.223124936056e-006, -1.053309853020e-006, 5.025110557724e-006, 4.286982336078e-006, 1.945362288278e-005, 1.774224064066e-005, 1.599444372112e-005, 2.493302026372e-006, 3.447282404411e-006, 4.223124936056e-006, -1.053309853020e-006, 5.025110557724e-006, 4.286982336078e-006, 1.945362288278e-005, 1.774224064066e-005, 1.599444372112e-005
BL2, 1, 7, 1, BL2, 204.5000, 428.1431879, 0.000000000000e+000, 1.377116975977e-006, -1.102911624978e-006, 5.898121166505e-006, 4.896211230050e-006, 4.371434288796e-006, 4.184512031728e-006, 7.095500941524e-006, 1.687819335669e-005, -5.626044254168e-007, 1.377116975977e-006, -1.102911624978e-006, 5.898121166505e-006, 4.896211230050e-006, 4.371434288796e-006, 4.184512031728e-006, 7.095500941524e-006, 1.687819335669e-005, -5.626044254168e-007
BL3, 1, 7, 1, BL3, 205.5000, 434.1569080, 0.000000000000e+000, -6.363314341750e-007, -3.310410924291e-006, -1.043386209487e-005, -2.254698834674e-006, 4.536959706950e-008, 4.342890844178e-006, 1.811575706633e-005, 1.006199370908e-006, 3.028545872579e-007, -6.363314341750e-007, -3.310410924291e-006, -1.043386209487e-005, -2.254698834674e-006, 4.536959706950e-008, 4.342890844178e-006, 1.811575706633e-005, 1.006199370908e-006, 3.028545872579e-007
BL4, 1, 7, 1, BL4, 206.5000, 440.1700366, 0.000000000000e+000, 8.092758459176e-007, 7.894101768058e-006, 1.020364886805e-005, 4.355247971774e-006, 1.225293546930e-005, 2.785878077078e-005, 3.975998687411e-006, -1.470337405582e-006, 8.148079242620e-006, 8.092758459176e-007, 7.894101768058e-006, 1.020364886805e-005, 4.355247971774e-006, 1.225293546930e-005, 2.785878077078e-005, 3.975998687411e-006, -1.470337405582e-006, 8.148079242620e-006
BL1, 1, 8, 1, BL1, 203.5000, 466.0133930, 0.000000000000e+000, -4.669522320475e-006, 1.458697973854e-007, 8.250021392496e-006, 1.171816674724e-006, 1.035971173453e-006, 7.650844063076e-006, 4.182849877637e-006, 7.776794999102e-006, 1.430268422521e-005, -4.669522320475e-006, 1.458697973854e-007, 8.250021392496e-006, 1.171816674724e-006, 1.035971173453e-006, 7.650844063076e-006, 4.182849877637e-006, 7.776794999102e-006, 1.430268422521e-005
BL2, 1, 8, 1, BL2, 204.5000, 472.0268535, 0.000000000000e+000, -7.089428201230e-006, -1.090271875887e-005, 1.668096276088e-006, 1.064808101556e-006, 2.368932625000e-006, 7.155441399549e-006, 1.165683985978e-005, 4.591512172757e-006, 7.472702531992e-007, -7.089428201230e-006, -1.090271875887e-005, 1.668096276088e-006, 1.064808101556e-006, 2.368932625000e-006, 7.155441399549e-006, 1.165683985978e-005, 4.591512172757e-006, 7.472702531992e-007
