#HEADER
Analysis
Version,1.4.0,1.04
Filename,A518_Pb-2530.TXT
MethodName,Pb_Faraday_MD_981.TIMSAM
MethodPath,C:\IsoLinx\Projects\RIGL.Pro\Methods
IsoWorksMethod,Pb_Faraday_MD_981
FolderPath,C:\IsoLinx\Projects\RIGL.Pro\Analysis\T0039_HiPb981DblSpk\A518_Pb.RAW
Corrected,Yes
BChannels,Yes
TimeZero, December 25, 2021 9:45:01 PM.979

#COLLECTORS
Name,Type,Resistor,Gain,Efficiency,DT
PM,PM,1e+11,1.000000000,1.000000000,31.3000
L5,F,1e+11,1.000000000,1.000000000,0.0000
L4,F,1e+11,1.000362239,1.000000000,0.0000
L3,F,1e+11,1.001916859,1.000000000,0.0000
L2,F,1e+11,0.998704526,1.000000000,0.0000
Ax,F,1e+11,0.994221629,1.000000000,0.0000
H1,F,1e+11,1.004330622,1.000000000,0.0000
H2,F,1e+11,0.967642535,1.000000000,0.0000
H3,F,1e+11,0.988378437,1.000000000,0.0000
H4,F,1e+11,0.996368444,1.000000000,0.0000

#BASELINES
ID,Block,Cycle,Integ,PeakID,AxMass,Time,PM,L5,L4,L3,L2,Ax,H1,H2,H3,H4,L5.B,L4.B,L3.B,L2.B,Ax.B,H1.B,H2.B,H3.B,H4.B
BL1, 2, 1, 1, BL1, 203.5265, 816.4958207, 0.000000000000e+000, 4.599416936911e-006, 3.845075491015e-006, 5.591841695032e-006, 8.608034143731e-006, 7.687643638887e-006, 1.253822887457e-005, 3.648467440533e-005, 4.733481831561e-005, 8.235404075166e-005, 4.599416936911e-006, 3.845075491015e-006, 5.591841695032e-006, 8.608034143731e-006, 7.687643638887e-006, 1.253822887457e-005, 3.648467440533e-005, 4.733481831561e-005, 8.235404075166e-005
BL2, 2, 1, 1, BL2, 204.5265, 828.5184647, 0.000000000000e+000, -6.264432528638e-006, 1.535362590016e-006, 1.883691989844e-006, 4.890832379337e-006, 1.615345735758e-005, 3.339191199599e-005, 5.183446942276e-005, 7.639972488970e-005, 4.333189543371e-005, -6.264432528638e-006, 1.535362590016e-006, 1.883691989844e-006, 4.890832379337e-006, 1.615345735758e-005, 3.339191199599e-005, 5.183446942276e-005, 7.639972488970e-005, 4.333189543371e-005
BL1, 2, 2, 1, BL1, 203.5265, 875.7365593, 0.000000000000e+000, 2.945442707074e-007, -8.964086880586e-007, -1.201783232709e-006, 1.397543231745e-006, 7.380149784115e-006, 2.069797139407e-005, 3.563047573500e-005, 4.686592230127e-005, 7.641606210718e-005, 2.945442707074e-007, -8.964086880586e-007, -1.201783232709e-006, 1.397543231745e-006, 7.380149784115e-006, 2.069797139407e-005, 3.563047573500e-005, 4.686592230127e-005, 7.641606210718e-005
BL2, 2, 2, 1, BL2, 204.5265, 887.7601359, 0.000000000000e+000, 8.716643546489e-006, 6.555594469474e-006, 5.058583304635e-006, 8.613207058714e-006, 1.447290519925e-005, 3.623280915404e-005, 5.754532765674e-005, 7.923361219156e-005, 4.902908433518e-005, 8.716643546489e-006, 6.555594469474e-006, 5.058583304635e-006, 8.613207058714e-006, 1.447290519925e-005, 3.623280915404e-005, 5.754532765674e-005, 7.923361219156e-005, 4.902908433518e-005
BL1, 2, 3, 1, BL1, 203.5265, 934.9093890, 0.000000000000e+000, 2.054476924128e-006, -2.227257259210e-006, 3.578736338845e-006, 3.286740108003e-007, 8.797166346821e-006, 1.563224418471e-005, 3.991021739127e-005, 5.522234344799e-005, 7.863643959320e-005, 2.054476924128e-006, -2.227257259210e-006, 3.578736338845e-006, 3.286740108003e-007, 8.797166346821e-006, 1.563224418471e-005, 3.991021739127e-005, 5.522234344799e-005, 7.863643959320e-005
BL2, 2, 3, 1, BL2, 204.5265, 946.9324763, 0.000000000000e+000, -2.056922377918e-006, 6.036056814906e-006, 5.669841157555e-006, 4.190784493570e-006, 1.095217735932e-005, 4.240664338213e-005, 5.988874007570e-005, 7.979261767515e-005, 5.121532066615e-005, -2.056922377918e-006, 6.036056814906e-006, 5.669841157555e-006, 4.190784493570e-006, 1.095217735932e-005, 4.240664338213e-005, 5.988874007570e-005, 7.979261767515e-005, 5.121532066615e-005
BL1, 2, 4, 1, BL1, 203.5265, 994.0782915, 0.000000000000e+000, -6.811715512141e-006, 1.617178074854e-006, 9.761211153920e-007, 5.396912585203e-006, 1.704154319565e-006, 8.579430133161e-006, 3.966065123424e-005, 5.418791060058e-005, 8.514721802951e-005, -6.811715512141e-006, 1.617178074854e-006, 9.761211153920e-007, 5.396912585203e-006, 1.704154319565e-006, 8.579430133161e-006, 3.966065123424e-005, 5.418791060058e-005, 8.514721802951e-005
BL2, 2, 4, 1, BL2, 204.5265, 1006.1000580, 0.000000000000e+000, 4.737398872715e-006, 1.133902020997e-006, 4.867921538202e-006, 6.502120409421e-006, 1.364525356661e-005, 4.147842953962e-005, 5.731137495359e-005, 8.122837892731e-005, 4.802781152298e-005, 4.737398872715e-006, 1.133902020997e-006, 4.867921538202e-006, 6.502120409421e-006, 1.364525356661e-005, 4.147842953962e-005, 5.731137495359e-005, 8.122837892731e-005, 4.802781152298e-005
BL1, 2, 5, 1, BL1, 203.5265, 1053.1798503, 0.000000000000e+000, 4.160954247424e-006, 6.466302464475e-006, 2.271487409662e-006, 1.061109097224e-005, 9.206760838468e-006, 1.359268330785e-005, 3.987802779165e-005, 5.469225582075e-005, 8.896460302120e-005, 4.160954247424e-006, 6.466302464475e-006, 2.271487409662e-006, 1.061109097224e-005, 9.206760838468e-006, 1.359268330785e-005, 3.987802779165e-005, 5.469225582075e-005, 8.896460302120e-005
BL2, 2, 5, 1, BL2, 204.5265, 1065.2053823, 0.000000000000e+000, 2.186019930504e-008, 3.079859563909e-006, 4.093108768190e-006, -6.541427540353e-007, 8.195581983547e-006, 4.251466768333e-005, 5.627369862878e-005, 8.539221967338e-005, 4.838360712394e-005, 2.186019930504e-008, 3.079859563909e-006, 4.093108768190e-006, -6.541427540353e-007, 8.195581983547e-006, 4.251466768333e-005, 5.627369862878e-005, 8.539221967338e-005, 4.838360712394e-005
