#HEADER
Analysis
Version,1.4.0,1.04
Filename,A520_Pb-2532.TXT
MethodName,PbFaraday_Pbc3Line.TIMSAM
MethodPath,C:\IsoLinx\Projects\RIGL.Pro\Methods
IsoWorksMethod,PbFaraday_Pbc3Line
FolderPath,C:\IsoLinx\Projects\RIGL.Pro\Analysis\T0039_HiPb981DblSpk\A520_Pb.RAW
Corrected,Yes
BChannels,Yes
TimeZero, December 27, 2021 6:39:53 PM.643

#COLLECTORS
Name,Type,Resistor,Gain,Efficiency,DT
PM,PM,1e+11,1.000000000,1.000000000,31.3000
L5,F,1e+11,1.000000000,1.000000000,0.0000
L4,F,1e+11,1.000362239,1.000000000,0.0000
L3,F,1e+11,1.001916859,1.000000000,0.0000
L2,F,1e+11,0.998704526,1.000000000,0.0000
Ax,F,1e+11,0.994221629,1.000000000,0.0000
H1,F,1e+11,1.004330622,1.000000000,0.0000
H2,F,1e+11,0.967642535,1.000000000,0.0000
H3,F,1e+11,0.988378437,1.000000000,0.0000
H4,F,1e+11,0.996368444,1.000000000,0.0000

#BASELINES
ID,Block,Cycle,Integ,PeakID,AxMass,Time,PM,L5,L4,L3,L2,Ax,H1,H2,H3,H4,L5.B,L4.B,L3.B,L2.B,Ax.B,H1.B,H2.B,H3.B,H4.B
BL1, 1, 6, 1, BL1, 203.5000, 386.8464862, 0.000000000000e+000, 6.682035214914e-006, 1.238571983900e-006, 1.367715900823e-005, 1.884656306432e-006, 8.922185898457e-006, 3.354628968685e-005, 4.650956058840e-005, 7.458405146332e-005, 1.085195009630e-004, 6.682035214914e-006, 1.238571983900e-006, 1.367715900823e-005, 1.884656306432e-006, 8.922185898457e-006, 3.354628968685e-005, 4.650956058840e-005, 7.458405146332e-005, 1.085195009630e-004
BL2, 1, 6, 1, BL2, 204.5000, 392.8595710, 0.000000000000e+000, 6.517208315949e-006, 1.665287251157e-006, 1.408305593127e-005, 1.149585850198e-005, 1.902297662424e-005, 5.082643803001e-005, 8.147314302930e-005, 1.140131177388e-004, 6.526872293544e-005, 6.517208315949e-006, 1.665287251157e-006, 1.408305593127e-005, 1.149585850198e-005, 1.902297662424e-005, 5.082643803001e-005, 8.147314302930e-005, 1.140131177388e-004, 6.526872293544e-005
BL3, 1, 6, 1, BL3, 205.5000, 398.8727346, 0.000000000000e+000, -4.689959524270e-006, 9.776545625644e-006, 1.366558393763e-005, 1.344963715399e-005, 4.396590818546e-005, 2.342775068952e-004, 1.086064258096e-004, 7.912008274057e-005, 1.956937556910e-005, -4.689959524270e-006, 9.776545625644e-006, 1.366558393763e-005, 1.344963715399e-005, 4.396590818546e-005, 2.342775068952e-004, 1.086064258096e-004, 7.912008274057e-005, 1.956937556910e-005
BL4, 1, 6, 1, BL4, 206.5000, 404.8870346, 0.000000000000e+000, 1.038634846057e-005, 8.679976070557e-006, 2.047621622690e-005, 5.315768394853e-005, 7.806706989785e-005, 3.018844412709e-004, 8.154398757356e-005, 1.268577697723e-005, 5.689669993444e-006, 1.038634846057e-005, 8.679976070557e-006, 2.047621622690e-005, 5.315768394853e-005, 7.806706989785e-005, 3.018844412709e-004, 8.154398757356e-005, 1.268577697723e-005, 5.689669993444e-006
BL1, 1, 7, 1, BL1, 203.5000, 430.6448945, 0.000000000000e+000, -5.496528896600e-006, 8.231409883509e-007, 4.838503188215e-006, 3.007799704201e-006, 9.205206091496e-006, 1.904016548615e-005, 3.961011727147e-005, 8.324489143613e-005, 1.038480586307e-004, -5.496528896600e-006, 8.231409883509e-007, 4.838503188215e-006, 3.007799704201e-006, 9.205206091496e-006, 1.904016548615e-005, 3.961011727147e-005, 8.324489143613e-005, 1.038480586307e-004
BL2, 1, 7, 1, BL2, 204.5000, 436.6589060, 0.000000000000e+000, -7.287050435002e-006, -8.366558946043e-007, 1.328627421727e-005, 1.230767421332e-005, 1.157249663494e-005, 4.128371107260e-005, 7.534963087898e-005, 9.910208131363e-005, 6.708783559015e-005, -7.287050435002e-006, -8.366558946043e-007, 1.328627421727e-005, 1.230767421332e-005, 1.157249663494e-005, 4.128371107260e-005, 7.534963087898e-005, 9.910208131363e-005, 6.708783559015e-005
BL3, 1, 7, 1, BL3, 205.5000, 442.6721001, 0.000000000000e+000, 4.191867937799e-007, -1.440755019558e-006, 6.862656658189e-006, 1.325414287044e-005, 3.625366043855e-005, 2.396515068850e-004, 1.112988743256e-004, 6.745549635334e-005, 8.385745171225e-006, 4.191867937799e-007, -1.440755019558e-006, 6.862656658189e-006, 1.325414287044e-005, 3.625366043855e-005, 2.396515068850e-004, 1.112988743256e-004, 6.745549635334e-005, 8.385745171225e-006
BL4, 1, 7, 1, BL4, 206.5000, 448.6857067, 0.000000000000e+000, -1.562713286944e-006, 7.194257156246e-006, 2.169254138166e-005, 5.311225877716e-005, 7.955294295318e-005, 2.877512412440e-004, 8.037272069540e-005, 1.482322915765e-005, 3.892447319181e-007, -1.562713286944e-006, 7.194257156246e-006, 2.169254138166e-005, 5.311225877716e-005, 7.955294295318e-005, 2.877512412440e-004, 8.037272069540e-005, 1.482322915765e-005, 3.892447319181e-007
BL1, 1, 8, 1, BL1, 203.5000, 474.4759839, 0.000000000000e+000, 2.859378975917e-006, 3.779904158629e-006, 6.256038956880e-006, 3.357884337103e-006, 1.176817881174e-005, 3.228671690686e-005, 4.297811424174e-005, 8.552799580989e-005, 9.692009774590e-005, 2.859378975917e-006, 3.779904158629e-006, 6.256038956880e-006, 3.357884337103e-006, 1.176817881174e-005, 3.228671690686e-005, 4.297811424174e-005, 8.552799580989e-005, 9.692009774590e-005
BL2, 1, 8, 1, BL2, 204.5000, 480.4894859, 0.000000000000e+000, 2.927331373598e-007, -9.179275221052e-006, -4.881730572113e-006, 1.376961818601e-006, 9.998531831778e-006, 5.449346825822e-005, 7.625468116248e-005, 1.015278912885e-004, 6.458194898185e-005, 2.927331373598e-007, -9.179275221052e-006, -4.881730572113e-006, 1.376961818601e-006, 9.998531831778e-006, 5.449346825822e-005, 7.625468116248e-005, 1.015278912885e-004, 6.458194898185e-005
